id,total_count
2021644_Ag_NL_DigitaleCollectie_centrum_Leeuwarden,53417
223_Slovenia_Slovenski_gospodar_Ljubljanski_zvon,53203
900__Norrbottens_museum,52878
0940442_Ag_PL_bibliotekacyfrowa.eu,52820
2021639_Ag_NL_DigitaleCollectie_Weert,52654
991_Cartotecadigital,52166
849_Catalonica_Regira,51972
09426_Ag_MT_Elocal,51955
2021647_Ag_NL_DigitaleCollectie_archief_schiedam,51842
441_Oslo_Museum,51698
2023859_AG-EU_LinkedHeritage_NSL,51236
767_Anno_Musea_i_Nord_Osterdalen,51023
2021609_Ag_NL_DigitaleCollectie_museum_rotterdam,51021
211_DDB_TUM,50914
405_Hispana_ArchivoMunicipalCastello,50732
439_SLJ_Herbarium_GJO,50464
234_FBC_SlaskaBibliotekaCyfrowa_Part2,49888
240_FBC_Jagiellonska_Biblioteka_Cyfrowa_Part3,49839
0940422_FBC_SlaskaBibliotekaCyfrowa_Part1,49793
11640_Ag_EU_OpenUp!_BATCH16:NBCNL_DWCA,49400
461_FBC_Jagiellonska_Biblioteka_Cyfrowa_Part14,49306
2058206_AG_ES_CIB_MGPB,49300
456_FBC_Jagiellonska_Biblioteka_Cyfrowa_Part9,49278
458_FBC_Jagiellonska_Biblioteka_Cyfrowa_Part11,49235
235_FBC_SlaskaBibliotekaCyfrowa_Part3,49094
459_FBC_Jagiellonska_Biblioteka_Cyfrowa_Part12,49057
0940428_Ag_PL_www.dlibra.karta.org.pl,49045
0940435_FBC_Jagiellonska_Biblioteka_Cyfrowa_Part1,48883
826_EKT_DEAM,48621
237_FBC_SlaskaBibliotekaCyfrowa_Part5,48546
455_FBC_Jagiellonska_Biblioteka_Cyfrowa_Part8,48499
77_Ag_SE_SwedishNationalHeritage_ca_kulturen,48338
452_FBC_Jagiellonska_Biblioteka_Cyfrowa_Part5,48205
451_FBC_Jagiellonska_Biblioteka_Cyfrowa_Part4,48022
462_FBC_Jagiellonska_Biblioteka_Cyfrowa_Part15,47962
236_FBC_SlaskaBibliotekaCyfrowa_Part4,47951
2021651_Ag_NL_DigitaleCollectie_archief_nijmegen,47924
916119_Ag_SE_Blekinge,47824
9200196_Ag_EU_TEL_a1130b_EUCollections1418_Italy,47455
9200516_Ag_BnF_Gallica_typedoc_audio,47414
453_FBC_Jagiellonska_Biblioteka_Cyfrowa_Part6,47366
239_FBC_Jagiellonska_Biblioteka_Cyfrowa_Part2,47232
105_Hispana_almeria,47192
91672_Ag_SE_SwedishNationalHeritage_malmo_foto,47189
9200522_Ag_BnF_Gallica_typedoc_partitions,46849
11604_Ag_EU_OpenUp_UH,46800
1048_MuseumofAppliedArtsBudapest,46698
314_EKT_Venizelosdig,45707
2021633_Ag_NL_DigitaleCollectie_hertogenbosch,45663
454_FBC_Jagiellonska_Biblioteka_Cyfrowa_Part7,45500
15503_Ag_AT_Kulturpool_khm_fs,44630
966_EuropeanaFashion_1134,44495
2048604_Ag_EU_DM2E_onb_abo,44425
92040_NL_DOI_Serbia,44363
0940417_Ag_PL_pbc.gda.pl,44309
2022302_Ag_UK_ELocal_Sheffield_Images,44128
421_CARARE_DANS_PAN,43868
2022068_Ag_EU_HOPE_AMSABIndymedia,43647
2048047_Ag_EU_AthenaPlus_RomaniaINP,43070
2048208_EuropeanaFashion_1015,42928
2021636_Ag_NL_DigitaleCollectie_CODA,42733
9200403_Ag_EU_TEL_a0652_KB_NL,42571
958__Kulturen_new,42163
11617_Ag_EU_OpenUp!_UTNHM,42071
372_DDB_BSB3,41930
9200229_Ag_EU_TEL_a1112_LibGent,41724
0940432_Ag_PL_pbc.biaman.pl,41629
457_FBC_Jagiellonska_Biblioteka_Cyfrowa_Part10,41395
2032010_Ag_EU_EInside_DrKovacPalCountyLibrary_KKMK,41313
2020710_Ag_EU_CARARE_DANS,40920
548_Kulturpool_Landessammlungen_Niederosterreich,40846
2058807_Ag_EU_EAGLE_EDB,40283
2064105_Royal_Armoury_Skokloster_Hallwyl,40254
2051943_Ag_EU_OldEUscreen_1025,40032
2021653_Ag_NL_DigitaleCollectie_BeeldbankEde,39824
504_DDB_zlb,39392
2059215_Ag_EU_eSOUNDS_1017_KistORiches,39155
168_DDB_Hablido,39082
2022502_Slovenia_Kamra_Multimedia,38966
0940425_Ag_PL_zbc.ksiaznica.szczecin.pl,38898
539_Hispana__BibliotecaDigitaldeAlbacete,38464
201_DDB_kunstgeschichte,38240
511_Ag_BG_PenchoSlaveykov_LIBVAR_ARTICLE_2021,37967
9200291_NL_ONB_EC1914_Picture_material_Photographs,37273
92027_Ag_EU_TEL_a0429E.xml,37111
194_Slovenia_Kmetijske_in_rokodelske_novice,36564
0940431_Ag_PL_rcin.org.pl,36516
410_SOCH_kps,36267
15_Slovenia_Newspapers_Part3,36229
91609_SwedishNationalHeritage_smvk_vkmf,36140
10907_AV_FLM_ASSETS_tex1_part2,35502
2064909_GR_EnATHINAIS,35502
9200369_IT_FondazioneBEIC,35475
2024903_EuropeanaPhotography_KULeuven_1010,35237
2058603_Ag_EU_LoCloud_IPCHS,35181
0940443_Ag_PL_bc.radom.pl,35149
2022360_Ag_UK_CultureGrid_IWM-FWW,34983
916120_Ag_SE_Postmuseum,34899
0940420_Ag_PL_www.dbc.wroc.pl,34737
2023865_AG-EU_LinkedHeritage_DigiCult_eG,34054
2021648_DigitaleCollectie_CollectieGelderland,34003
92022_Ag_EU_TEL_a0430E,33710
2021618_Ag_NL_DigitaleCollectie_TeylersKunst,33659
271_Ag_EU_JHN_CCJM,33614
9200140_Ag_EU_TEL_a0525_EUcollection14-18,33401
91698_Ag_SE_SwedishNationalHeritage_SuM,33379
03927_Ag_BANQUEIMAGEPORTRAIT_IMAGE,33251
91650_Ag_SE_SwedishNationalHeritage_hem_objekt,33210
355_Hispana_RiuNet,33198
91652_Ag_SE_SwedishNationalHeritage_KBG,32803
540_Hispana_BibliotecaDigitalCastillaMancha,32589
228_AG_EU_JHN_GUF_cm,32531
0940439_Ag_PL_delibra.bg.polsl.pl,32150
472_NM_HM_Narodni_muzeum_Historicke_muzeum,32080
110_Hispana_toledo,31701
2022363_Ag_UK_CultureGrid_Cumbria_Archives,31643
2020601_Ag_ErsterWeltkrieg_EU,31491
952_Ministerul_Culturii_Items,31490
2021629_Ag_NL_DigitaleCollectie_zutphen,31206
2021007_Ag_FI_NDL_sls,31136
09403_Ag_AT_ELocal,30995
2058808_Ag_EU_EAGLE_UAH,30723
72_72_Ag_SE_SwedishNationalHeritage_fbm,30555
08534_Ag_EU_ATHENA_International_Centre_For_Inform,30055
1034__LIBVAR_ARTICLE,29993
447_CulturaItalia_BibliotecaMarciana,29597
92085_National_Library_of_Latvia,29542
285_CulturaItalia_GAM,29395
91676_Ag_SE_SwedishNationalHeritage_Arkitektur,29200
109_Hispana_bvpb,29199
91653_Ag_SE_SwedishNationalHeritage_Miliseum,29084
164_Universitat_Autonoma_de_Barcelona,29037
2020903_Museu_NationalGalleryOfDenmark,29019
91641_Ag_SE_SwedishNationalHeritage_smvk-oa-arkivd,28802
92065_Ag_EU_TEL_a0445_ETravel,28688
07931_L_DE_UniLibHeidelberg_druckschriften_IIIF,28550
626_DDB_mediathek,28402
485_MSPrFUK_Mapova_sbirka,28304
2022715_Ag_ES_Hispana_elektra,28062
15502_Ag_AT_Kulturpool_Khm,27866
2024014_Ag_CZ_MSPrFUK,27841
2022042_Ag_EU_HOPE_TA1,27821
221_Slovenia_Newspapers_Part4,27812
0940424_Ag_PL_zbc.uz.zgora.pl,27786
91682_Ag_SE_SwedishNationalHeritage_vm-objekt,27663
2021627_Ag_NL_DigitaleCollectie_streekarchief,27321
79_DC_Rijksmuseum_Boerhaave,27257
2021660_Ag_NL_DigitaleCollectie_Tholen,27160
289_DC_Gemeentearchief_Barneveld,27145
0940436_Ag_PL_dlibra.umcs.lublin.pl,26996
91643_SwedishNationalHeritage_smvk_oa_object,26829
709_DDB_HerzogAugust,26445
00738_A_DE_Landesarchiv_ese_5_0000478720,26337
317_Ag_EU_JHN_JewishMuseumGreece,26252
366_DDB_Hertziana,26187
531_DDB_Freiburg,26072
9200115_Ag_EU_TEL_a0563_EUcollection14-18,25831
2058805_Ag_EU_EAGLE_PLUS,25604
2023846_AG-EU_LinkedHeritage_LWL,25526
